                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 15.076,                      0,                      0,                      0,                      0,                      0,                      0,                 12.319,                      0,                      0,                      0,                      0
                      2,                0.22462,                 15.204,                0.06969,                      0,                      0,                      0,                      0,                      0,                 12.329,                      0,              1.998e-05,              1.998e-05,              1.998e-05
                      3,                0.00081,                 15.041,                0.00029,                      0,                      0,                      0,                      0,                      0,                 12.334,                      0,             3.9921e-05,             3.9921e-05,             3.9921e-05
                      4,                      0,                 14.894,                      0,                      0,                      0,                      0,                      0,                      0,                 12.337,                      0,             5.9822e-05,             5.9822e-05,             5.9822e-05
                      5,                      0,                 14.833,                      0,                      0,                      0,                      0,                      0,                      0,                 12.344,                      0,             7.9683e-05,             7.9683e-05,             7.9683e-05
                      6,                0.35961,                 14.921,                 0.0771,                      0,                      0,                      0,                      0,                      0,                 12.351,                      0,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      7,                      0,                 14.702,                      0,                      0,                      0,                      0,                      0,                      0,                 12.354,                      0,             0.00011929,             0.00011929,             0.00011929
                      8,                 1.8749,                 16.478,                0.62735,                      0,                      0,                      0,                      0,                      0,                 12.355,                      0,             0.00013903,             0.00013903,             0.00013903
                      9,                      0,                  14.53,                      0,                      0,                      0,                      0,                      0,                      0,                 12.358,                      0,             0.00015873,             0.00015873,             0.00015873
                     10,                      0,                 14.478,                      0,                      0,                      0,                      0,                      0,                      0,                 12.367,                      0,              0.0001784,              0.0001784,              0.0001784
                     11,                0.74443,                 14.843,                0.18748,                      0,                      0,                      0,                      0,                      0,                 12.378,                      0,             0.00019802,             0.00019802,             0.00019802
                     12,                 2.2157,                 15.731,                0.51461,                      0,                      0,                      0,                      0,                      0,                  12.39,                      0,              0.0002176,              0.0002176,              0.0002176
                     13,                      0,                 14.257,                      0,                      0,                      0,                      0,                      0,                      0,                 12.401,                      0,             0.00023715,             0.00023715,             0.00023715
                     14,                      0,                  14.12,                      0,                      0,                      0,                      0,                      0,                      0,                 12.412,                      0,             0.00025665,             0.00025665,             0.00025665
