                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                   3.87,                 7.3899,                 0.9589,                 0.2441,                0.10753,                0.05756,                0.01093,                 3.5306,                 9.5834,                0.90425,              0.0012872,              0.0012872,              0.0012872
                     38,                 3.3611,                 8.2288,                0.88363,                 0.2441,                0.10753,                0.05756,                0.01093,                 3.5306,                 9.5834,                0.90425,              0.0012674,              0.0012674,              0.0012674
                     39,                 3.8042,                 6.5579,                0.96318,                0.16775,                0.11828,                0.06625,                0.01313,                 3.6848,                 10.754,                0.92968,              0.0012476,              0.0012476,              0.0012476
                     40,                 3.7401,                 5.1943,                0.97989,                0.16775,                0.11828,                0.06625,                0.01313,                 3.6848,                 10.754,                0.92968,              0.0012278,              0.0012278,              0.0012278
                     41,                 3.6513,                 7.7678,                0.97924,                0.13226,                0.09677,                0.04511,                0.01489,                 3.6265,                  11.45,                0.95055,               0.001208,               0.001208,               0.001208
                     42,                 2.7707,                 6.5772,                 0.7399,                0.13226,                0.09677,                0.04511,                0.01489,                 3.6265,                  11.45,                0.95055,              0.0011882,              0.0011882,              0.0011882
                     43,                 3.8755,                 7.7311,                0.93894,                0.35042,                0.07527,                 0.0598,                0.01355,                 3.5637,                 11.203,                0.94965,              0.0011684,              0.0011684,              0.0011684
                     44,                 4.0827,                 9.0116,                0.98568,                0.35042,                0.07527,                 0.0598,                0.01355,                 3.5637,                 11.203,                0.94965,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.9939,                 7.8197,                0.76481,                0.27114,                0.08602,                0.06771,                0.02153,                 3.3177,                 10.141,                0.93619,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.7095,                 5.6645,                0.70077,                0.27114,                0.08602,                0.06771,                0.02153,                 3.3177,                 10.141,                0.93619,               0.001109,               0.001109,               0.001109
                     47,                 3.9953,                 6.9811,                 1.0601,                 0.3092,                0.11828,                0.09202,                0.03277,                 3.2355,                 9.3568,                0.92795,              0.0010892,              0.0010892,              0.0010892
                     48,                 3.2143,                  6.282,                0.80062,                 0.3092,                0.11828,                0.09202,                0.03277,                 3.2355,                 9.3568,                0.92795,              0.0010694,              0.0010694,              0.0010694
                     49,                 3.2846,                 7.3366,                 0.8582,                0.29991,                0.10753,                0.08729,                0.03179,                 3.2067,                 8.9667,                 0.9215,              0.0010496,              0.0010496,              0.0010496
                     50,                 3.3421,                 5.4946,                0.82982,                0.29991,                0.10753,                0.08729,                0.03179,                 3.2067,                 8.9667,                 0.9215,              0.0010298,              0.0010298,              0.0010298
                     51,                 3.5846,                 6.7855,                0.92032,                0.34174,                0.13405,                0.08852,                0.02552,                 3.3517,                 9.0546,                0.90981,                0.00101,                0.00101,                0.00101
                     52,                 2.8176,                 6.3257,                0.74157,                0.34174,                0.13405,                0.08852,                0.02552,                 3.3517,                 9.0546,                0.90981,              0.0009902,              0.0009902,              0.0009902
                     53,                 3.0615,                 6.3766,                 0.8073,                 0.2526,                0.14541,                0.09317,                  0.022,                 3.7035,                  9.679,                 0.9021,              0.0009704,              0.0009704,              0.0009704
                     54,                  2.695,                 6.3916,                0.75038,                 0.2526,                0.14541,                0.09317,                  0.022,                 3.7035,                  9.679,                 0.9021,              0.0009506,              0.0009506,              0.0009506
                     55,                 3.8373,                 7.2319,                 1.0384,                0.35426,                0.10753,                0.08419,                0.02183,                   3.79,                 9.9863,                0.90148,              0.0009308,              0.0009308,              0.0009308
                     56,                  3.382,                 6.6606,                0.78721,                0.35426,                0.10753,                0.08419,                0.02183,                   3.79,                 9.9863,                0.90148,               0.000911,               0.000911,               0.000911
                     57,                 3.0483,                 8.3065,                0.68608,                0.28619,                0.08602,                0.04211,                0.01371,                 3.8493,                 9.9991,                0.91148,              0.0008912,              0.0008912,              0.0008912
                     58,                 3.6231,                 5.9335,                0.93234,                0.28619,                0.08602,                0.04211,                0.01371,                 3.8493,                 9.9991,                0.91148,              0.0008714,              0.0008714,              0.0008714
                     59,                 3.1768,                  5.313,                 0.7949,                0.24472,                0.08602,                0.03703,                0.01145,                 3.8199,                 9.6131,                0.91297,              0.0008516,              0.0008516,              0.0008516
                     60,                 3.1174,                 5.3034,                0.79234,                0.24472,                0.08602,                0.03703,                0.01145,                 3.8199,                 9.6131,                0.91297,              0.0008318,              0.0008318,              0.0008318
                     61,                 3.8504,                 6.3265,                 0.9233,                0.30249,                0.10753,                0.06315,                0.01357,                 3.7973,                 9.1135,                0.91708,               0.000812,               0.000812,               0.000812
                     62,                 2.7771,                 6.0793,                0.70057,                0.30249,                0.10753,                0.06315,                0.01357,                 3.7973,                 9.1135,                0.91708,              0.0007922,              0.0007922,              0.0007922
                     63,                 3.2183,                 5.9677,                0.89087,                0.35132,                0.15054,                0.09761,                0.01844,                 3.7032,                 8.3412,                0.91828,              0.0007724,              0.0007724,              0.0007724
                     64,                  3.181,                 7.2945,                0.76363,                0.35132,                0.15054,                0.09761,                0.01844,                 3.7032,                 8.3412,                0.91828,              0.0007526,              0.0007526,              0.0007526
                     65,                  3.578,                  5.972,                0.96005,                 0.3004,                0.13978,                 0.0928,                0.02171,                 3.6024,                 8.1688,                0.91915,              0.0007328,              0.0007328,              0.0007328
                     66,                 3.6658,                 6.6504,                0.92859,                 0.3004,                0.13978,                 0.0928,                0.02171,                 3.6024,                 8.1688,                0.91915,               0.000713,               0.000713,               0.000713
                     67,                 3.7466,                 5.9866,                 1.0535,                0.30841,                0.13978,                0.10112,                0.02706,                  3.449,                 7.7101,                0.91216,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.7655,                  5.322,                0.73819,                0.30841,                0.13978,                0.10112,                0.02706,                  3.449,                 7.7101,                0.91216,              0.0006734,              0.0006734,              0.0006734
                     69,                  3.024,                 6.4883,                0.82683,                0.25562,                0.13978,                0.10561,                0.03036,                 3.4308,                 7.6335,                0.90141,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.9232,                 5.0044,                0.86867,                0.25562,                0.13978,                0.10561,                0.03036,                 3.4308,                 7.6335,                0.90141,              0.0006338,              0.0006338,              0.0006338
                     71,                 3.0722,                 5.5309,                0.85046,                0.35335,                0.15054,                0.12397,                0.03134,                 3.3519,                  7.356,                 0.8909,               0.000614,               0.000614,               0.000614
                     72,                 3.4022,                 5.7653,                0.86179,                0.35335,                0.15054,                0.12397,                0.03134,                 3.3519,                  7.356,                 0.8909,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.9333,                 5.2086,                0.76117,                0.29065,                0.12903,                0.10529,                0.02849,                  3.424,                 7.2392,                0.88461,              0.0005744,              0.0005744,              0.0005744
                     74,                 3.7538,                 6.3121,                 1.0171,                0.29065,                0.12903,                0.10529,                0.02849,                  3.424,                 7.2392,                0.88461,              0.0005546,              0.0005546,              0.0005546
                     75,                 3.8811,                 5.8507,                0.89675,                0.27495,                0.13978,                0.09025,                0.02123,                 3.4765,                 7.3446,                0.88144,              0.0005348,              0.0005348,              0.0005348
                     76,                 3.9309,                 5.5598,                0.92089,                0.27495,                0.13978,                0.09025,                0.02123,                 3.4765,                 7.3446,                0.88144,               0.000515,               0.000515,               0.000515
                     77,                 4.0079,                 5.2222,                0.97762,                0.26719,                0.13978,                0.07694,                0.01931,                 3.4999,                  7.403,                0.87664,              0.0004952,              0.0004952,              0.0004952
                     78,                 3.6387,                 7.2587,                0.87608,                0.26719,                0.13978,                0.07694,                0.01931,                 3.4999,                  7.403,                0.87664,              0.0004754,              0.0004754,              0.0004754
                     79,                 3.4094,                 6.9512,                0.89385,                0.30859,                0.15054,                0.10669,                0.02568,                 3.5273,                 7.1048,                0.87402,              0.0004556,              0.0004556,              0.0004556
                     80,                 4.0988,                 6.4227,                0.92698,                0.30859,                0.15054,                0.10669,                0.02568,                 3.5273,                 7.1048,                0.87402,              0.0004358,              0.0004358,              0.0004358
                     81,                  2.619,                 5.8265,                0.69588,                0.35938,                0.16129,                0.10829,                0.02527,                 3.5653,                 7.1124,                0.87178,               0.000416,               0.000416,               0.000416
                     82,                 2.8262,                 5.2425,                0.77813,                0.35938,                0.16129,                0.10829,                0.02527,                 3.5653,                 7.1124,                0.87178,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.7172,                 4.4266,                0.72116,                0.37053,                0.16129,                0.11121,                0.02364,                 3.5695,                 7.1545,                0.86921,              0.0003764,              0.0003764,              0.0003764
                     84,                 3.4605,                  5.108,                0.94761,                0.37053,                0.16129,                0.11121,                0.02364,                 3.5695,                 7.1545,                0.86921,              0.0003566,              0.0003566,              0.0003566
                     85,                 3.5986,                 6.5631,                0.91672,                0.40987,                0.16129,                0.11834,                0.02387,                 3.5543,                 7.1079,                0.86515,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.9079,                 4.9276,                0.83781,                0.40987,                0.16129,                0.11834,                0.02387,                 3.5543,                 7.1079,                0.86515,               0.000317,               0.000317,               0.000317
                     87,                 3.1811,                 5.0987,                0.78585,                0.38274,                0.16129,                0.11795,                0.02276,                 3.5093,                 6.9895,                0.86015,              0.0002972,              0.0002972,              0.0002972
                     88,                 3.0358,                  4.143,                0.88379,                0.38274,                0.16129,                0.11795,                0.02276,                 3.5093,                 6.9895,                0.86015,              0.0002774,              0.0002774,              0.0002774
                     89,                 3.0968,                 5.7113,                0.81747,                0.35229,                0.16129,                0.12145,                0.02355,                 3.4598,                 6.9328,                0.85775,              0.0002576,              0.0002576,              0.0002576
                     90,                  3.005,                  6.583,                0.76971,                0.35229,                0.16129,                0.12145,                0.02355,                 3.4598,                 6.9328,                0.85775,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.5207,                 5.1075,                 0.8051,                0.40357,                 0.1828,                0.13688,                0.02532,                 3.4215,                 6.8465,                0.85534,               0.000218,               0.000218,               0.000218
                     92,                  3.105,                 5.6261,                0.89544,                0.40357,                 0.1828,                0.13688,                0.02532,                 3.4215,                 6.8465,                0.85534,              0.0001982,              0.0001982,              0.0001982
                     93,                  3.017,                 6.0963,                0.87828,                0.38564,                 0.1828,                0.14283,                0.02856,                 3.3835,                 6.8043,                0.85402,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.7724,                 5.1697,                0.77236,                0.38564,                 0.1828,                0.14283,                0.02856,                 3.3835,                 6.8043,                0.85402,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.4056,                 5.7258,                0.70507,                0.35281,                 0.1828,                0.14731,                0.02816,                 3.3517,                 6.7981,                0.85493,              0.0001388,              0.0001388,              0.0001388
                     96,                 3.1055,                 5.4848,                0.89336,                0.35281,                 0.1828,                0.14731,                0.02816,                 3.3517,                 6.7981,                0.85493,               0.000119,               0.000119,               0.000119
                     97,                 2.8448,                 5.1988,                0.77341,                0.53505,                0.15054,                0.14633,                 0.0326,                 3.3234,                 6.8334,                0.85786,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.9444,                 5.3808,                0.73807,                0.53505,                0.15054,                0.14633,                 0.0326,                 3.3234,                 6.8334,                0.85786,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 3.5344,                 5.4306,                0.97541,                0.39017,                0.16129,                0.13453,                0.03139,                  3.302,                 6.8374,                0.85906,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.4107,                 6.6944,                0.64499,                0.39017,                0.16129,                0.13453,                0.03139,                  3.302,                 6.8374,                0.85906,               3.98e-05,               3.98e-05,               3.98e-05
