                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2716,                 5.7008,                0.48518,                0.00027,                0.02151,                0.01695,                0.00212,                 2.6225,                 6.7433,                0.57227,              0.0019307,              0.0019307,              0.0019307
                     37,                 2.7243,                 5.7104,                 0.6143,                0.00027,                0.02151,                0.01695,                0.00212,                 2.6225,                 6.7433,                0.57227,              0.0019287,              0.0019287,              0.0019287
                     38,                  2.508,                 5.7655,                 0.5366,                0.00027,                0.02151,                0.01695,                0.00212,                 2.6225,                 6.7433,                0.57227,              0.0019267,              0.0019267,              0.0019267
                     39,                 3.4774,                 6.0408,                0.78936,                0.15466,                0.02151,                0.01277,                0.00153,                 2.5105,                  6.677,                0.56217,              0.0019248,              0.0019248,              0.0019248
                     40,                 3.2384,                 5.6539,                0.75308,                0.15466,                0.02151,                0.01277,                0.00153,                 2.5105,                  6.677,                0.56217,              0.0019228,              0.0019228,              0.0019228
                     41,                 2.2782,                 5.2807,                0.52555,                 0.1096,                0.05376,                0.00964,                0.00163,                 2.3106,                 6.5166,                0.52813,              0.0019208,              0.0019208,              0.0019208
                     42,                  2.315,                 5.0141,                0.53005,                 0.1096,                0.05376,                0.00964,                0.00163,                 2.3106,                 6.5166,                0.52813,              0.0019188,              0.0019188,              0.0019188
                     43,                 2.6995,                  5.207,                0.64432,                 0.1096,                0.05376,                0.00964,                0.00163,                 2.3106,                 6.5166,                0.52813,              0.0019168,              0.0019168,              0.0019168
                     44,                 2.4613,                 5.1268,                0.57308,                0.11892,                0.04301,                0.00951,                0.00254,                  2.287,                 7.3184,                0.53315,              0.0019149,              0.0019149,              0.0019149
                     45,                 2.6025,                 5.2066,                0.61148,                0.11892,                0.04301,                0.00951,                0.00254,                  2.287,                 7.3184,                0.53315,              0.0019129,              0.0019129,              0.0019129
                     46,                 2.2287,                 5.1855,                0.47605,                0.09167,                0.03226,                0.00652,                0.00185,                 2.3203,                 7.0678,                0.54598,              0.0019109,              0.0019109,              0.0019109
                     47,                 1.9094,                 4.6986,                0.41475,                0.09167,                0.03226,                0.00652,                0.00185,                 2.3203,                 7.0678,                0.54598,              0.0019089,              0.0019089,              0.0019089
                     48,                  2.292,                 5.0129,                0.59458,                0.09167,                0.03226,                0.00652,                0.00185,                 2.3203,                 7.0678,                0.54598,              0.0019069,              0.0019069,              0.0019069
                     49,                 2.4798,                 4.8696,                0.59655,                0.10058,                0.03226,                0.02249,                0.00659,                 2.2292,                 6.0724,                0.51795,               0.001905,               0.001905,               0.001905
                     50,                 2.5791,                 4.6522,                0.57039,                0.10058,                0.03226,                0.02249,                0.00659,                 2.2292,                 6.0724,                0.51795,               0.001903,               0.001903,               0.001903
                     51,                 2.6162,                 4.9585,                0.67155,                0.10058,                0.03226,                0.02249,                0.00659,                 2.2292,                 6.0724,                0.51795,               0.001901,               0.001901,               0.001901
                     52,                 2.5755,                 4.7344,                0.56735,                0.18467,                0.03226,                0.02424,                0.01103,                 1.8148,                 5.8348,                0.43204,               0.001899,               0.001899,               0.001899
                     53,                 2.4197,                 4.7186,                0.53055,                0.18467,                0.03226,                0.02424,                0.01103,                 1.8148,                 5.8348,                0.43204,               0.001897,               0.001897,               0.001897
                     54,                 2.1138,                 4.4038,                0.48923,                0.07509,                0.02151,                0.01805,                0.01141,                 1.5353,                 5.8874,                0.40593,              0.0018951,              0.0018951,              0.0018951
                     55,                 2.3932,                 4.6388,                0.57616,                0.07509,                0.02151,                0.01805,                0.01141,                 1.5353,                 5.8874,                0.40593,              0.0018931,              0.0018931,              0.0018931
                     56,                 2.0582,                 4.6039,                0.45761,                0.07509,                0.02151,                0.01805,                0.01141,                 1.5353,                 5.8874,                0.40593,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.9248,                 4.4088,                0.43868,                0.07491,                0.02151,                0.02164,                  0.009,                 1.5138,                 5.8515,                 0.4016,              0.0018891,              0.0018891,              0.0018891
                     58,                  2.067,                 4.6529,                0.46965,                0.07491,                0.02151,                0.02164,                  0.009,                 1.5138,                 5.8515,                 0.4016,              0.0018871,              0.0018871,              0.0018871
                     59,                 2.2006,                 4.4765,                0.54634,                0.09413,                0.03241,                0.01273,                0.00398,                 1.3588,                 5.5533,                0.35474,              0.0018852,              0.0018852,              0.0018852
                     60,                  2.711,                 4.5581,                0.61097,                0.09413,                0.03241,                0.01273,                0.00398,                 1.3588,                 5.5533,                0.35474,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.9031,                 4.2923,                0.42652,                0.09413,                0.03241,                0.01273,                0.00398,                 1.3588,                 5.5533,                0.35474,              0.0018812,              0.0018812,              0.0018812
                     62,                 2.3071,                 4.3167,                0.51885,                0.10175,                0.03226,                0.01251,                0.00337,                 1.7084,                 5.4439,                0.40829,              0.0018792,              0.0018792,              0.0018792
                     63,                 2.6394,                 4.1966,                0.59031,                0.10175,                0.03226,                0.01251,                0.00337,                 1.7084,                 5.4439,                0.40829,              0.0018772,              0.0018772,              0.0018772
                     64,                 2.3505,                 4.3677,                0.56351,                0.05397,                0.01075,                0.01875,                0.00388,                 2.0232,                 5.3837,                0.46888,              0.0018753,              0.0018753,              0.0018753
